Loan_amount,Income,Term
916500,10800,360
276500,0,360
176500,4560,360
256500,2760,360
316500,4440,300
456500,5700,360
356500,4020,360
116500,1440,360
276500,5220,360
96500,3240,180
486500,13320,360
716500,10320,360
336500,8400,360
236500,3480,360
276500,2880,300
466500,4440,240
316500,7200,360
386500,7380,360
216500,7080,360
186500,1980,360
56500,6000,360
156500,2820,360
106500,7860,180
106500,7260,360
516500,9300,360
226500,0,360
226500,2100,360
516500,4920,360
436500,6420,360
106500,4080,180
276500,0,360
116500,2820,180
306500,7200,360
606500,20400,360
256500,6060,360
336500,5400,360
346500,5040,300
846500,9540,360
306500,4740,240
156500,2100,360
786500,13380,360
236500,3600,360
246500,3840,360
286500,3960,360
96500,2640,360
416500,10080,360
116500,0,360
406500,19440,360
176500,3120,360
366500,3180,360
526500,6900,360
166500,3240,276
296500,4560,360
646500,7680,360
86500,1440,360
206500,1560,180
206500,1980,360
176500,1680,324
356500,8160,360
196500,4080,360
466500,4920,360
106500,4620,360
176500,3420,180
416500,3600,360
196500,0,324
416500,5520,360
216500,0,360
156500,3000,360
326500,9660,360
306500,4860,360
76500,1620,360
216500,2160,360
106500,2400,360
136500,4920,180
106500,3540,360
86500,3180,360
616500,3180,360
396500,4260,360
386500,0,360
136500,3780,360
126500,2100,360
156500,7860,120
96500,1680,300
206500,5580,360
286500,7800,360
256500,4680,360
206500,2700,360
246500,13020,360
526500,12660,360
166500,2220,360
716500,8520,360
56500,2160,360
686500,300,360
386500,12360,360
466500,7020,360
436500,6840,360
96500,1260,360
416500,12600,180
56500,1500,360
416500,7020,240
126500,2400,180
426500,5460,360
536500,4620,360
86500,6180,360
356500,6900,360
226500,9780,360
216500,13920,360
526500,1200,360
446500,8040,360
296500,0,360
616500,0,360
266500,4860,360
406500,2880,360
266500,0,360
256500,0,360
196500,2280,360
266500,3600,180
106500,4980,180
406500,5700,324
276500,6780,360
196500,5820,240
166500,1500,180
266500,5640,360
256500,5160,360
366500,12000,360
146500,2880,360
276500,4080,360
366500,8520,360
496500,4620,360
636500,7680,360
406500,0,360
176500,2940,360
806500,16380,360
186500,3180,360
366500,7800,360
346500,7260,360
196500,3420,360
306500,4320,360
106500,2580,360
246500,4980,360
166500,4200,360
196500,3600,360
56500,960,360
176500,3420,360
216500,4980,360
206500,2880,360
86500,1260,360
196500,0,360
126500,0,360
286500,4200,360
156500,3300,360
286500,2700,360
106500,3120,360
1256500,24900,360
106500,2460,360
76500,2760,300
426500,6780,180
406500,7920,360
166500,5220,360
196500,4260,360
256500,5820,240
666500,20700,360
786500,7200,324
116500,4200,360
466500,6660,360
346500,4020,360
406500,4860,360
326500,5700,324
316500,8640,360
186500,0,360
306500,2340,360
286500,7260,360
106500,6720,180
226500,3540,360
166500,0,360
236500,3720,360
146500,0,300
176500,5220,180
566500,9120,360
486500,9000,348
706500,6480,360
96500,1260,360
496500,9060,300
196500,4020,360
176500,0,360
316500,3840,360
916500,13380,360
256500,10740,360
396500,5400,240
206500,5040,360
486500,11340,360
136500,3780,360
246500,6060,360
206500,2280,360
636500,9540,360
106500,1800,180
76500,1860,360
106500,4080,360
36500,2520,180
486500,0,360
156500,5520,180
266500,3540,300
106500,1560,360
126500,7740,180
416500,5820,360
156500,2520,360
76500,3060,360
256500,2400,360
56500,1320,360
286500,8400,360
156500,7980,300
206500,2700,360
436500,5760,360
216500,8400,360
566500,9180,360
686500,8700,360
356500,10860,360
356500,4260,360
336500,4080,360
196500,3480,360
386500,0,360
446500,7920,360
776500,4680,360
96500,1680,360
126500,3900,360
196500,0,360
486500,21720,180
186500,3180,360
646500,9360,300
446500,5880,360
486500,4800,360
96500,1440,360
676500,21720,300
186500,3360,360
206500,7260,360
356500,5100,300
76500,9420,180
86500,2040,360
446500,0,360
116500,3120,180
296500,3600,300
56500,5580,360
126500,3180,360
206500,6300,360
336500,10320,180
226500,18360,360
266500,5280,360
196500,1800,360
326500,5340,360
166500,3420,360
156500,2280,360
316500,6420,360
306500,10500,360
356500,6120,360
846500,12660,360
276500,3120,360
316500,5280,324
226500,3000,360
486500,13620,360
706500,11580,360
166500,0,360
306500,12000,180
546500,18000,360
126500,3120,180
76500,2580,360
276500,11100,180
196500,4680,360
246500,4140,360
236500,3720,360
136500,2220,324
306500,4620,240
156500,2940,360
346500,6540,360
386500,8940,360
46500,960,360
316500,9720,360
286500,0,360
406500,5220,360
506500,5640,360
516500,4860,360
216500,2340,360
206500,5760,120
156500,1740,360
156500,1020,360
156500,5880,360
706500,10260,360
106500,3780,360
726500,11520,360
426500,32400,360
346500,0,360
136500,2880,240
326500,10860,240
226500,6780,180
406500,9840,300
366500,5460,360
76500,1980,360
376500,15000,360
186500,0,360
216500,4560,360
446500,7560,324
546500,2160,360
316500,17520,360
216500,2820,240
806500,12060,360
156500,2040,360
176500,2340,360
346500,3840,360
846500,12900,180
366500,0,360
486500,9420,360
116500,0,360
76500,1680,324
226500,4200,360
186500,2580,360
246500,4380,360
296500,0,360
216500,3960,360
376500,4440,360
166500,47280,360
406500,5640,360
166500,6780,360
356500,6300,360
176500,2940,360
446500,6360,360
276500,0,360
486500,7140,360
376500,6900,360
246500,7380,360
326500,6480,360
356500,2340,348
176500,4620,276
246500,6120,360
366500,0,360
116500,5940,360
256500,0,360
206500,0,324
96500,2700,360
276500,4140,360
266500,0,360
56500,2700,360
486500,0,360
236500,2940,360
186500,3480,360
306500,4440,360
376500,3600,360
676500,19560,360
406500,11820,360
276500,7800,360
416500,5220,360
306500,8340,360
346500,2760,360
546500,5040,360
106500,1380,360
536500,9540,360
306500,7020,360
46500,0,324
676500,6600,300
186500,4500,360
326500,0,360
656500,13080,360
166500,3360,360
116500,5400,360
106500,2400,360
96500,840,360
686500,6240,360
106500,2040,300
136500,2220,240
266500,9780,180
1166500,0,360
486500,9000,360
446500,0,360
346500,9360,360
146500,3300,324
226500,4260,360
376500,3960,360
286500,5880,360
266500,4560,360
196500,300,360
146500,2640,360
556500,5580,360
116500,1440,360
366500,9600,360
246500,2880,360
416500,9600,180
266500,7080,360
146500,2760,360
336500,5040,360
186500,2460,360
376500,5640,360
266500,7920,360
686500,12180,300
286500,5820,360
326500,2460,360
306500,4320,360
396500,8340,360
486500,9780,180
276500,4020,360
206500,2280,360
296500,3840,360
126500,10860,360
446500,6780,360
466500,9840,180
256500,8460,360
296500,0,360
146500,2160,360
176500,5760,300
156500,5760,360
386500,9600,360
176500,9480,180
276500,8040,360
316500,9840,360
616500,40020,180
166500,5460,360
346500,4200,360
486500,8460,360
76500,960,360
476500,11040,324
266500,4200,360
166500,3720,360
246500,4140,300
56500,2340,180
356500,10620,360
526500,14460,180
246500,3120,360
86500,0,360
126500,1620,300
176500,4320,360
256500,5640,360
626500,7260,360
176500,3540,300
466500,5460,360
296500,180,360
576500,14760,360
416500,9780,360
616500,5700,360
266500,13500,240
116500,3300,360
486500,7560,360
206500,5820,240
116500,3420,360
206500,2280,360
306500,7380,360
156500,3360,240
106500,3420,360
486500,5040,360
486500,6960,360
546500,5400,360
276500,16860,360
366500,3720,360
326500,4380,360
316500,5880,360
436500,4920,360
156500,4560,180
416500,4680,300
306500,6000,360
206500,3180,360
336500,5760,300
556500,7440,360
346500,4560,300
416500,3300,360
276500,4500,360
66500,1680,300
616500,8280,360
206500,5760,180
156500,2400,360
126500,1740,360
486500,7620,360
316500,0,324
126500,8460,360
86500,2700,180
316500,9300,360
416500,7320,360
356500,3960,360
146500,0,360
176500,3900,360
316500,2940,360
236500,3480,360
266500,4380,360
266500,6000,360
446500,7260,300
196500,2880,360
286500,5640,360
316500,7200,324
536500,0,360
366500,5640,360
366500,3720,360
426500,3900,360
266500,9840,360
206500,7140,180
86500,1560,324
266500,4080,360
196500,3600,360
126500,2340,360
206500,7620,180
226500,4560,240
206500,1920,300
526500,7680,360
726500,6420,360
146500,0,180
726500,7800,360
226500,2100,360
156500,5220,360
516500,8760,300
416500,12120,300
136500,600,360
76500,1200,360
626500,9900,240
146500,3060,360
206500,4800,324
256500,0,360
306500,8460,324
206500,4620,360
276500,3240,360
176500,2340,360
276500,3480,360
236500,4020,360
236500,5340,360
366500,3720,360
156500,1860,360
446500,0,360
366500,12120,180
176500,2160,180
356500,13680,240
1046500,17340,360
606500,16680,180
296500,3000,360
146500,5460,360
236500,3600,300
226500,12120,360
446500,7380,360
146500,2280,360
496500,10620,360
696500,10680,360
166500,4200,360
206500,2160,360
356500,5040,360
106500,9420,360
116500,1500,360
666500,11820,360
406500,0,240
356500,12120,360
236500,1320,360
336500,8280,360
76500,1140,180
396500,7440,300
316500,9840,180
326500,3240,360
186500,4200,360
216500,3000,360
376500,12300,360
66500,2100,240
256500,4320,360
486500,5040,360
306500,2820,360
126500,5580,300
256500,11220,180
266500,10800,180
676500,0,360
706500,13320,360
206500,3000,300
246500,4320,360
476500,12240,360
576500,9660,360
416500,7860,360
276500,4800,360
76500,2820,360
406500,15780,360
176500,3840,300
386500,6300,360
86500,1560,180
356500,3480,360
276500,5280,360
176500,4560,180
366500,4740,300
106500,2520,360
126500,1860,360
706500,8820,360
146500,5580,360
136500,2040,360
166500,3600,180
236500,6360,360
316500,8160,360
86500,2100,360
736500,25980,180
156500,3240,360
686500,0,360
216500,3300,360
226500,0,360
446500,8460,300
86500,180,360
546500,10320,360
206500,3240,360
486500,3840,360
536500,17760,240
166500,4680,360
676500,12120,360
406500,5460,324
346500,4200,360
1336500,23880,360
296500,6480,240
326500,7080,300
366500,30900,180
86500,1440,360
146500,3420,360
56500,840,360
206500,8040,276
646500,10860,360
106500,2640,360
166500,2880,360
246500,0,360
386500,3540,360
266500,3840,360
176500,3900,360
266500,5160,360
276500,4620,360
196500,3300,360
336500,7560,360
206500,3540,360
376500,5940,324
166500,2820,360
246500,7080,180
756500,11880,360
666500,24540,360
486500,5400,360
536500,6180,360
116500,2340,360
516500,4980,180
166500,3540,360
176500,11760,180
106500,3240,360
286500,15780,360
236500,5940,360
576500,4380,300
216500,9000,360
206500,7620,324
136500,7980,360
326500,10140,180
376500,6060,360
226500,4080,360
406500,7380,360
486500,15900,180
176500,3900,360
536500,0,300
236500,6660,360
646500,5460,360
436500,11160,360
596500,0,360
106500,3600,180
206500,7020,360
226500,2040,360
286500,4980,360
546500,9900,360
106500,1620,360
106500,660,360
186500,2580,180
276500,5580,360
156500,1620,360
576500,6840,360
196500,6600,360
76500,3660,180
156500,1980,240
196500,0,360
406500,0,360
136500,7500,360
186500,0,360
126500,2400,300
636500,12300,360
406500,9060,360
196500,1320,360
146500,1440,360
266500,4560,360
656500,17340,360
626500,6300,360
256500,3600,240
306500,5340,360
116500,1140,360
76500,4440,360
226500,3060,360
246500,4080,360
206500,4200,360
226500,7320,240
326500,7440,360
106500,9360,180
436500,6540,360
176500,2220,360
86500,1740,360
596500,15480,360
186500,7860,360
96500,2760,360
216500,2760,360
126500,2400,360
266500,5040,240
76500,1200,360
286500,11700,360
236500,2700,360
196500,3720,360
206500,3360,360
246500,3420,360
76500,2220,180
206500,7200,360
336500,9060,360
456500,4440,360
576500,25080,360
226500,6840,360
486500,0,360
76500,7680,300
156500,2280,360
66500,0,180
186500,40620,360
76500,4080,360
216500,3540,180
396500,4740,360
276500,8880,360
256500,3840,360
306500,3720,360
396500,4260,360
56500,1320,360
186500,2340,360
246500,11040,360
216500,4680,360
176500,2400,360
76500,1740,180
506500,7380,360
606500,8580,360
386500,4380,360
456500,11280,360
706500,6960,360
396500,10860,360
266500,3300,360
486500,0,360
256500,3300,300
456500,7500,360
266500,6900,360
216500,300,360
276500,6060,240
506500,28800,360
466500,8700,360
276500,2880,360
556500,8100,360
56500,4500,360
246500,9900,360
266500,16440,180
296500,3900,360
296500,3420,360
346500,3840,360
506500,12300,360
236500,4140,360
176500,8760,360
46500,1620,300
256500,4800,300
126500,2160,360
646500,9840,360
236500,5640,360
256500,0,360
166500,0,360
86500,5220,360
386500,7620,360
206500,2700,360
196500,3540,360
176500,4200,360
386500,10860,360
316500,4200,360
366500,7920,336
216500,3900,360
316500,4920,360
66500,2760,360
266500,7800,360
1066500,0,360
336500,2580,360
126500,0,360
406500,0,360
476500,8040,360
146500,8100,360
496500,12300,360
696500,9720,360
256500,2700,180
136500,5040,360
116500,1560,360
576500,7800,360
676500,10800,360
156500,1380,360
426500,5400,360
146500,5700,360
86500,1680,360
266500,3960,360
246500,3600,360
196500,4080,360
476500,10920,360
536500,7080,360
406500,5580,360
576500,7620,360
166500,5220,180
246500,6720,360
356500,4200,360
226500,2820,360
456500,5940,360
456500,9900,360
106500,5040,180
236500,5760,360
606500,7380,360
116500,6420,180
136500,2160,360
256500,3540,360
206500,27780,360
446500,5100,360
206500,0,360
256500,2400,360
286500,37260,360
386500,6900,360
196500,4140,360
476500,9000,360
196500,2640,360
286500,7140,360
116500,3900,180
226500,2160,360
396500,3480,360
186500,3120,360
536500,9600,360
216500,5220,360
196500,1980,300
466500,7500,360
126500,5880,132
566500,9540,360
376500,5880,360
376500,5880,360
336500,3840,360
306500,8760,360
1336500,12900,360
506500,0,360
396500,8880,360
356500,5040,240
206500,1980,360
216500,4500,360
246500,0,360
406500,7320,360
396500,5940,360
126500,1680,360
196500,3720,360
156500,5880,180
346500,5160,360
346500,4860,360
856500,24120,360
376500,13680,180
136500,6420,180
276500,9000,360
66500,1560,180
306500,8340,360
46500,1800,360
176500,2700,300
606500,0,360
406500,7920,240
366500,5460,360
376500,5700,360
516500,20340,180
126500,1440,204
166500,15120,360
456500,10260,180
56500,2100,360
446500,10740,360
426500,4320,360
236500,7860,360
316500,7620,360
246500,1500,360
46500,1560,360
316500,15720,360
156500,4800,180
936500,12060,360
96500,0,360
286500,10500,360
56500,2100,180
356500,6540,360
66500,1020,360
156500,2160,360
326500,5280,360
186500,4200,360
976500,14940,360
516500,4920,360
86500,2580,240
156500,4320,96
466500,10560,180
396500,13860,180
226500,2520,360
66500,3660,180
306500,0,360
416500,4560,360
286500,6660,300
116500,3660,360
416500,14220,312
486500,15480,360
656500,18660,180
346500,4980,360
106500,1620,300
266500,8340,360
66500,900,360
96500,2460,180
336500,3000,360
356500,4380,360
276500,0,360
906500,20100,360
306500,4620,360
506500,6360,360
226500,0,360
176500,4140,360
476500,4320,360
246500,4680,360
486500,15420,300
126500,2220,324
96500,6660,180
266500,6060,360
986500,12000,300
496500,16560,360
106500,2100,360
356500,9180,180
246500,5940,300
416500,0,360
536500,3720,360
676500,7920,360
266500,4740,360
166500,0,180
66500,2160,360
146500,4620,360
626500,8220,360
276500,6360,360
216500,4980,360
466500,0,360
166500,4020,360
296500,3000,360
126500,4260,360
216500,0,360
256500,8280,360
476500,5040,360
426500,4140,360
606500,7200,300
356500,3540,360
486500,10320,360
156500,3360,360
256500,4380,360
636500,7020,360
56500,1320,360
266500,5700,360
346500,3600,360
316500,4740,360
306500,3360,360
196500,3000,360
446500,7620,360
376500,5760,360
156500,0,300
186500,3840,360
656500,11580,360
426500,9480,360
306500,7200,360
276500,5880,360
126500,7260,120
276500,14280,360
546500,5340,360
286500,4980,360
436500,8460,360
586500,13440,360
176500,3120,360
386500,11940,360
476500,9060,360
256500,3120,360
126500,3420,360
166500,5400,300
466500,10140,180
156500,3660,360
296500,3780,360
156500,2700,300
1366500,17160,360
86500,2820,360
486500,4260,360
336500,7500,360
206500,5160,360
136500,4440,360
316500,10500,180
596500,7440,360
966500,0,360
306500,7860,360
106500,3180,300
226500,2580,240
276500,6720,360
236500,6000,360
136500,6300,360
516500,14700,360
106500,3600,360
706500,11400,360
176500,1740,360
736500,13320,360
356500,7560,360
906500,14040,360
256500,9780,360
106500,4380,360
176500,4320,360
296500,4800,360
156500,8220,360
336500,7860,360
196500,4080,360
156500,0,360
76500,1620,180
146500,2520,360
1346500,16440,360
386500,5940,360
376500,4200,360
246500,5520,360
296500,4620,360
326500,6180,360
456500,13200,360
466500,2220,360
256500,4920,360
506500,8880,180
306500,2880,360
176500,2640,180
116500,8040,180
486500,9420,360
276500,5100,180
186500,4320,360
196500,2220,360
526500,5700,360
166500,1740,360
96500,2400,360
266500,0,360
586500,7260,360
206500,4020,180
156500,4020,360
306500,5700,360
426500,21600,180
316500,5760,360
216500,7800,360
496500,4920,360
236500,5400,360
376500,6720,360
566500,7860,360
116500,6180,180
86500,5940,360
466500,7260,360
596500,6780,360
236500,0,360
286500,3720,360
386500,5940,360
156500,2940,300
96500,2460,360
106500,2220,360
326500,12000,360
416500,12120,240
276500,4380,360
216500,3960,360
126500,2700,180
636500,12780,360
206500,4980,360
136500,3360,360
456500,7200,360
246500,2640,360
356500,13560,180
46500,600,360
226500,4260,360
96500,1320,360
76500,1260,360
236500,4080,360
116500,2700,180
966500,54720,360
1186500,15600,360
486500,12660,360
56500,660,360
316500,5700,360
746500,8100,360
556500,11280,360
506500,8520,360
446500,4080,360
386500,7020,360
216500,6540,360
126500,4380,360
366500,6600,360
136500,2520,240
236500,5520,360
186500,4260,360
546500,11340,360
426500,9000,300
366500,8160,312
286500,6000,360
336500,3480,360
226500,3660,360
306500,540,360
166500,1980,180
496500,4020,360
256500,6180,300
296500,7560,360
246500,3780,300
236500,2220,360
246500,2940,360
106500,1260,360
246500,4800,360
306500,4680,360
796500,11400,360
236500,5700,360
216500,9660,360
266500,3300,360
226500,4140,360
536500,9780,360
146500,3900,360
486500,9480,360
586500,5520,360
476500,6000,360
486500,10920,360
86500,4380,180
206500,2100,360
276500,3360,300
156500,2400,360
156500,9720,144
156500,2520,360
416500,7680,240
336500,9180,240
226500,5700,360
436500,7200,360
226500,6660,300
526500,10320,360
176500,3720,180
66500,1200,360
146500,1560,360
236500,2700,360
106500,2100,360
156500,4140,360
186500,9120,360
46500,1860,360
266500,4680,300
116500,0,324
256500,6300,360
46500,4200,300
376500,5220,360
336500,9660,240
366500,7080,360
96500,0,360
216500,3660,240
526500,8340,360
136500,1920,240
266500,3960,360
146500,2400,360
266500,6240,300
506500,0,360
176500,0,180
366500,4320,360
176500,3180,360
236500,4860,360
346500,4200,360
306500,5280,360
246500,6840,360
46500,1140,360
326500,8340,360
106500,2220,360
306500,8160,300
446500,3840,360
206500,4380,360
276500,0,360
56500,4200,360
206500,3660,360
656500,12060,324
296500,8280,360
396500,13260,240
136500,2880,360
176500,11700,360
306500,21720,360
696500,6660,360
416500,14460,240
446500,9240,360
296500,7080,360
726500,14880,180
586500,0,360
256500,4020,360
256500,5340,360
506500,13020,360
326500,6240,360
306500,2340,360
696500,0,360
346500,0,360
326500,9840,360
616500,6540,300
456500,19200,360
366500,4740,360
396500,6360,360
396500,0,360
196500,7140,360
246500,3720,360
206500,2700,360
246500,4620,360
186500,24360,180
396500,6000,360
246500,1860,360
186500,2700,360
246500,14160,180
126500,2160,360
406500,10320,360
186500,2520,360
366500,5580,360
256500,8880,360
506500,9360,360
486500,5640,360
406500,3720,360
486500,5220,360
376500,6360,360
486500,7440,300
386500,0,360
566500,6600,360
456500,4980,360
616500,7260,360
136500,3060,180
236500,4800,360
606500,3660,180
206500,3720,300
186500,0,360
716500,8940,300
566500,8220,360
296500,0,360
166500,6600,360
276500,3960,360
726500,9360,360
276500,8940,360
486500,9180,180
196500,5280,360
226500,0,360
146500,2340,240
276500,8520,360
66500,3480,360
396500,6300,360
186500,5100,360
336500,5400,300
266500,5400,360
296500,8760,180
236500,2400,360
306500,7500,360
336500,3960,360
166500,1800,360
426500,7500,300
216500,1860,360
876500,9900,360
356500,5880,360
1006500,10800,360
556500,8760,360
76500,1020,300
156500,1140,360
386500,9420,360
316500,7140,360
376500,4440,360
56500,3120,360
356500,0,360
296500,5400,360
216500,3660,360
196500,4140,360
156500,2640,360
126500,0,360
116500,2580,360
366500,4860,360
186500,3240,360
116500,1200,360
86500,2460,360
446500,5280,360
316500,4740,360
206500,0,360
196500,4800,360
96500,4200,360
746500,8100,360
286500,3480,360
386500,6000,360
306500,3720,360
1006500,9900,360
306500,3840,360
606500,6120,360
216500,5280,360
476500,9420,360
86500,2040,360
646500,10140,360
456500,9060,360
306500,4020,360
296500,8700,180
476500,11880,180
236500,0,360
176500,2400,360
226500,0,360
876500,11160,360
486500,12360,180
796500,6960,360
556500,6660,360
226500,5100,360
366500,5220,300
136500,2520,360
296500,60,360
156500,2700,360
356500,5820,360
446500,15240,360
156500,5640,360
276500,5040,360
486500,5220,360
246500,9420,360
526500,12060,360
366500,0,360
116500,0,360
146500,3540,360
236500,3420,360
336500,8160,300
396500,11940,360
256500,0,360
286500,1260,348
406500,5520,360
176500,3480,360
386500,7620,360
396500,7380,360
446500,6540,360
396500,6540,360
256500,2760,360
286500,3120,360
366500,3300,360
696500,11520,360
206500,4980,360
266500,3540,360
226500,2940,360
186500,3480,240
466500,4740,360
206500,0,360
416500,7080,360
56500,720,300
176500,4380,360
316500,0,300
486500,7740,360
306500,4500,360
216500,8820,240
526500,6720,360
216500,2100,360
146500,2760,360
286500,5940,360
236500,5700,360
386500,4800,360
476500,4500,360
556500,19020,180
236500,11160,240
266500,5460,360
226500,2160,360
706500,10440,360
486500,7500,360
206500,4200,360
446500,8220,360
186500,2880,360
156500,1980,360
766500,18000,360
416500,4560,324
1126500,25260,360
896500,7080,360
366500,3720,360
276500,4800,360
186500,1500,360
376500,6300,360
116500,1920,360
336500,12480,180
126500,3720,180
596500,5580,360
236500,5820,324
686500,12000,360
366500,4800,360
116500,2640,360
246500,2220,360
56500,4380,180
226500,3240,360
106500,2880,360
356500,1920,360
236500,6000,360
286500,6600,360
706500,7800,360
86500,1200,180
506500,7560,360
566500,8820,360
106500,2400,360
426500,13800,360
56500,2160,360
466500,8100,360
1606500,21900,360
536500,0,324
216500,4260,180
366500,4380,360
106500,2220,360
256500,4380,360
496500,0,360
316500,6300,360
396500,6060,360
286500,1620,360
516500,7260,360
856500,0,360
156500,4080,360
286500,2400,360
686500,6960,360
356500,20460,360
446500,11160,360
246500,7860,360
186500,0,360
416500,8160,360
486500,6120,360
656500,9720,360
226500,4320,360
156500,3240,360
426500,13680,360
136500,1560,360
276500,5280,360
486500,9600,300
436500,7380,360
156500,780,180
246500,3240,360
206500,2100,360
406500,8400,360
206500,8460,360
296500,3420,360
486500,13500,360
426500,8040,360
466500,0,360
156500,2220,360
456500,5040,240
386500,5460,360
456500,6480,360
196500,3180,360
486500,9960,300
166500,2400,324
316500,5160,360
616500,7500,360
286500,6600,300
296500,6660,240
276500,6420,240
216500,5820,360
186500,3720,360
86500,3240,360
366500,43560,180
246500,3480,360
536500,7140,360
376500,0,360
386500,5520,360
106500,1800,360
146500,0,360
436500,5280,360
336500,0,300
1006500,46620,360
486500,17400,240
336500,4800,360
306500,1080,360
256500,4680,360
196500,0,360
126500,4260,360
116500,3060,360
136500,3900,360
146500,2400,300
396500,4620,360
276500,3420,360
246500,3000,300
166500,9000,360
296500,0,300
196500,2520,360
196500,8220,360
266500,3180,360
126500,4020,360
156500,2100,360
196500,0,360
226500,3300,360
246500,6000,360
546500,0,360
36500,1500,360
176500,1920,360
266500,3060,360
326500,3900,360
76500,3360,360
376500,5100,360
376500,5580,360
436500,8280,360
226500,4740,360
206500,4920,360
36500,1260,360
426500,34680,360
486500,11040,360
296500,0,180
186500,2340,360
356500,8220,360
376500,4680,288
406500,4680,360
416500,8160,360
76500,1800,360
316500,5400,324
626500,35160,360
76500,2820,180
116500,4380,324
176500,3240,360
136500,3540,240
266500,7980,180
106500,2940,360
166500,1080,240
396500,7800,240
486500,8340,360
266500,8520,180
586500,0,360
316500,4560,360
396500,0,360
326500,4680,360
686500,12900,180
346500,12120,360
56500,1020,360
116500,2040,360
366500,5100,360
376500,9480,360
386500,9540,360
166500,2580,360
436500,7920,360
396500,9480,360
286500,3900,360
346500,0,360
316500,6000,180
236500,8460,240
286500,6240,360
386500,0,360
346500,8460,360
96500,1440,360
166500,0,360
316500,7860,360
176500,3840,360
216500,4320,180
256500,11280,360
116500,3180,180
226500,1980,240
436500,4500,360
236500,11160,180
66500,840,360
336500,13980,360
186500,2760,360
666500,11640,300
356500,7200,360
476500,4860,360
236500,3600,360
286500,0,360
356500,3480,360
306500,3120,360
346500,6180,360
156500,3720,288
76500,2400,360
276500,2820,360
246500,10680,360
476500,8820,360
496500,4380,240
366500,6960,360
246500,13740,360
606500,7800,360
546500,6420,360
66500,12300,360
126500,3840,180
476500,5160,360
406500,6000,360
76500,2460,360
86500,5100,360
156500,2700,360
96500,1680,360
216500,4380,360
436500,11760,360
416500,9360,360
126500,7920,120
56500,5400,180
206500,3060,324
156500,6780,180
806500,11340,360
616500,7200,360
126500,4440,360
366500,3060,360
216500,240,360
86500,1680,360
66500,5040,360
186500,4380,180
246500,3660,360
296500,3480,360
256500,3960,360
86500,14220,360
576500,4800,360
236500,4980,360
426500,10200,240
706500,6060,360
466500,0,360
496500,6300,360
286500,3600,360
126500,6600,180
166500,3720,180
246500,3660,360
186500,2280,360
326500,10740,360
56500,2340,180
206500,5940,180
166500,2100,360
506500,0,360
536500,7260,360
136500,2400,360
306500,3840,360
166500,1860,300
376500,3780,360
336500,7200,360
76500,1800,360
206500,5520,324
316500,4680,360
446500,3720,360
706500,9300,360
136500,2940,360
226500,4980,360
296500,5100,360
666500,13440,360
326500,5700,360
176500,7200,360
176500,3480,360
456500,5280,360
246500,5640,180
206500,3900,360
256500,5160,360
326500,5400,360
406500,3720,360
326500,4260,360
236500,4440,360
226500,1920,360
116500,2280,360
726500,9000,360
1166500,12540,360
326500,3240,360
126500,2820,360
296500,9780,300
216500,0,360
526500,13800,360
156500,2520,360
486500,5400,360
236500,4740,360
666500,12360,360
336500,21960,360
276500,3000,360
856500,33900,180
646500,2700,360
236500,16860,360
466500,9660,360
326500,3720,360
86500,1860,360
186500,0,360
126500,1500,360
236500,2700,360
416500,19860,360
246500,10080,180
316500,6480,360
1366500,35460,360
306500,1560,360
266500,6240,360
516500,0,360
136500,1500,360
146500,1080,360
96500,1380,360
196500,7920,360
156500,21240,300
286500,2340,360
76500,2520,360
626500,8700,360
296500,6000,360
216500,7500,360
196500,120,360
486500,6900,360
156500,3060,360
96500,2340,240
866500,37860,300
186500,1740,360
296500,7440,360
366500,3300,360
66500,2220,360
96500,1260,360
626500,11340,360
656500,26460,360
906500,15060,360
396500,6960,360
436500,6360,360
166500,4380,300
276500,3660,360
296500,3300,360
166500,2940,360
106500,0,360
116500,3780,324
146500,3720,360
326500,0,360
306500,4980,180
246500,2820,360
186500,2880,324
476500,6600,300
296500,5820,360
106500,3840,360
406500,4500,360
346500,2400,360
146500,2460,360
446500,1440,360
56500,1620,360
396500,9000,360
606500,12300,360
206500,2580,360
146500,3000,360
256500,3540,180
206500,7440,180
86500,1500,180
116500,3120,360
206500,6240,180
276500,4260,360
646500,6300,360
406500,4560,360
486500,18960,360
506500,76380,360
486500,7020,360
726500,12600,360
326500,5100,360
276500,3840,360
186500,4260,360
126500,3540,180
186500,0,360
236500,2880,360
506500,6120,360
426500,14940,360
456500,6960,180
486500,8520,360
176500,3360,360
326500,6180,360
416500,5700,360
206500,5700,240
96500,3120,180
356500,5160,360
326500,21120,360
406500,7980,360
326500,5400,360
256500,7500,360
206500,3360,360
106500,6600,276
266500,7200,360
336500,8040,360
436500,8760,360
216500,7740,180
246500,3480,360
206500,2580,360
316500,4860,360
456500,14700,180
236500,3420,360
286500,4260,360
106500,2640,360
456500,8700,360
366500,5760,360
236500,6600,360
246500,2400,360
316500,4140,360
666500,11460,360
556500,4200,360
346500,5280,360
1336500,18300,360
106500,4500,360
326500,4560,360
316500,4500,360
406500,6660,360
596500,15120,240
286500,4920,360
156500,7920,360
76500,4860,360
76500,1740,180
446500,0,360
56500,0,360
576500,13980,360
166500,1920,360
446500,4500,360
206500,3480,360
146500,1740,360
156500,4560,360
546500,19560,360
276500,8640,360
266500,4560,360
386500,7860,360
106500,2400,360
